
Sample,Date,GMT,Air/Ground,Altitude,Airspeed,FLT Number,Flap Handle-Pos,Flap Posn-L,Flap Posn-R,FlapSkew 1 Pos,FlapSkew 2 Pos,FlapSkew 3 Pos,FlapSkew 4 Pos,FlapSkew 5 Pos,FlapSkew 6 Pos,FlapSkew 7 Pos,FlapSkew 8 Pos,FlapsSkew 1to8 ,FlapsSkew 2to7 ,FlapsSkew 3to6 ,FlapsSkew 4to5 ,
1253,03:24,13:55:48,AIR ,25997.0,260.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1254,03:24,13:55:49,AIR ,25996.0,260.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1255,03:24,13:55:50,AIR ,25998.0,260.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1256,03:24,13:55:51,AIR ,25998.0,260.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1257,03:24,13:55:52,AIR ,25997.0,260.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1258,03:24,13:55:53,AIR ,25999.0,260.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1259,03:24,13:55:54,AIR ,25998.0,260.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1260,03:24,13:55:55,AIR ,25999.0,260.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1261,03:24,13:55:56,AIR ,26000.0,260.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1262,03:24,13:55:57,AIR ,25999.0,260.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1263,03:24,13:55:58,AIR ,25999.0,260.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1264,03:24,13:55:59,AIR ,26000.0,260.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1265,03:24,13:56:00,AIR ,26000.0,260.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1266,03:24,13:56:01,AIR ,26000.0,260.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1267,03:24,13:56:02,AIR ,26000.0,260.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1268,03:24,13:56:03,AIR ,26000.0,260.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1269,03:24,13:56:04,AIR ,26001.0,260.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1270,03:24,13:56:05,AIR ,25999.0,260.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1271,03:24,13:56:06,AIR ,26000.0,260.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1272,03:24,13:56:07,AIR ,26001.0,260.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1273,03:24,13:56:08,AIR ,26000.0,260.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1274,03:24,13:56:09,AIR ,26000.0,260.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1275,03:24,13:56:10,AIR ,26001.0,260.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1276,03:24,13:56:11,AIR ,26000.0,260.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1277,03:24,13:56:12,AIR ,26000.0,260.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1278,03:24,13:56:13,AIR ,26000.0,260.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1279,03:24,13:56:14,AIR ,26000.0,259.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1280,03:24,13:56:15,AIR ,25999.0,259.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1281,03:24,13:56:16,AIR ,25998.0,259.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1282,03:24,13:56:17,AIR ,25999.0,259.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1283,03:24,13:56:18,AIR ,25999.0,259.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1284,03:24,13:56:19,AIR ,25999.0,259.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1285,03:24,13:56:20,AIR ,25999.0,259.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1286,03:24,13:56:21,AIR ,25998.0,259.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1287,03:24,13:56:22,AIR ,25998.0,259.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1288,03:24,13:56:23,AIR ,25998.0,259.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1289,03:24,13:56:24,AIR ,25997.0,260.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1290,03:24,13:56:25,AIR ,25997.0,260.0,,0.0,,0.0,-160,,,,,,,,normal,normal,normal,normal,
1291,03:24,13:56:26,AIR ,25999.0,260.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1292,03:24,13:56:27,AIR ,26000.0,260.0,,0.0,,0.0,,,20,,,,,,normal,normal,normal,normal,
1293,03:24,13:56:28,AIR ,26000.0,259.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1294,03:24,13:56:29,AIR ,26002.0,259.5,,0.0,,0.0,,,,,,,,-166,normal,normal,normal,normal,
1295,03:24,13:56:30,AIR ,26002.0,259.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1296,03:24,13:56:31,AIR ,26001.0,259.3,,0.0,,0.0,,,,,,18,,,normal,normal,normal,normal,
1297,03:24,13:56:32,AIR ,26001.0,259.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1298,03:24,13:56:33,AIR ,26002.0,259.0,,0.0,,0.0,,-69,,,,,,,normal,normal,normal,normal,
1299,03:24,13:56:34,AIR ,26002.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1300,03:24,13:56:35,AIR ,26001.0,258.8,,0.0,,0.0,,,,-50,,,,,normal,normal,normal,normal,
1301,03:24,13:56:36,AIR ,26001.0,259.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1302,03:24,13:56:37,AIR ,26001.0,259.0,,0.0,,0.0,,,,,,,-63,,normal,normal,normal,normal,
1303,03:24,13:56:38,AIR ,26001.0,259.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1304,03:24,13:56:39,AIR ,26001.0,259.0,,0.0,,0.0,,,,,-54,,,,normal,normal,normal,normal,
1305,03:24,13:56:40,AIR ,26001.0,259.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1306,03:24,13:56:41,AIR ,26002.0,259.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1307,03:24,13:56:42,AIR ,26001.0,259.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1308,03:24,13:56:43,AIR ,26001.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1309,03:24,13:56:44,AIR ,26002.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1310,03:24,13:56:45,AIR ,26002.0,258.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1311,03:24,13:56:46,AIR ,26001.0,258.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1312,03:24,13:56:47,AIR ,25999.0,258.3,GIA217  ,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1313,03:24,13:56:48,AIR ,26000.0,258.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1314,03:24,13:56:49,AIR ,26001.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1315,03:24,13:56:50,AIR ,26000.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1316,03:24,13:56:51,AIR ,25999.0,257.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1317,03:24,13:56:52,AIR ,26000.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1318,03:24,13:56:53,AIR ,26000.0,258.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1319,03:24,13:56:54,AIR ,25999.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1320,03:24,13:56:55,AIR ,25998.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1321,03:24,13:56:56,AIR ,25996.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1322,03:24,13:56:57,AIR ,25997.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1323,03:24,13:56:58,AIR ,25997.0,257.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1324,03:24,13:56:59,AIR ,25997.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1325,03:24,13:57:00,AIR ,25998.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1326,03:24,13:57:01,AIR ,25998.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1327,03:24,13:57:02,AIR ,25998.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1328,03:24,13:57:03,AIR ,25999.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1329,03:24,13:57:04,AIR ,26000.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1330,03:24,13:57:05,AIR ,25999.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1331,03:24,13:57:06,AIR ,25999.0,258.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1332,03:24,13:57:07,AIR ,26001.0,258.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1333,03:24,13:57:08,AIR ,26000.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1334,03:24,13:57:09,AIR ,26000.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1335,03:24,13:57:10,AIR ,26000.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1336,03:24,13:57:11,AIR ,26001.0,257.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1337,03:24,13:57:12,AIR ,25999.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1338,03:24,13:57:13,AIR ,25999.0,257.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1339,03:24,13:57:14,AIR ,26000.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1340,03:24,13:57:15,AIR ,26002.0,257.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1341,03:24,13:57:16,AIR ,26001.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1342,03:24,13:57:17,AIR ,26002.0,257.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1343,03:24,13:57:18,AIR ,26002.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1344,03:24,13:57:19,AIR ,26002.0,257.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1345,03:24,13:57:20,AIR ,26001.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1346,03:24,13:57:21,AIR ,26002.0,257.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1347,03:24,13:57:22,AIR ,26002.0,257.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1348,03:24,13:57:23,AIR ,26002.0,257.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1349,03:24,13:57:24,AIR ,26001.0,257.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1350,03:24,13:57:25,AIR ,26002.0,257.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1351,03:24,13:57:26,AIR ,26002.0,257.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1352,03:24,13:57:27,AIR ,26001.0,257.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1353,03:24,13:57:28,AIR ,26001.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1354,03:24,13:57:29,AIR ,26000.0,257.8,,0.0,,0.0,-160,,,,,,,,normal,normal,normal,normal,
1355,03:24,13:57:30,AIR ,26001.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1356,03:24,13:57:31,AIR ,26000.0,257.8,,0.0,,0.0,,,20,,,,,,normal,normal,normal,normal,
1357,03:24,13:57:32,AIR ,26001.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1358,03:24,13:57:33,AIR ,26001.0,258.0,,0.0,,0.0,,,,,,,,-166,normal,normal,normal,normal,
1359,03:24,13:57:34,AIR ,26002.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1360,03:24,13:57:35,AIR ,26002.0,258.0,,0.0,,0.0,,,,,,18,,,normal,normal,normal,normal,
1361,03:24,13:57:36,AIR ,26001.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1362,03:24,13:57:37,AIR ,26002.0,257.5,,0.0,,0.0,,-69,,,,,,,normal,normal,normal,normal,
1363,03:24,13:57:38,AIR ,26001.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1364,03:24,13:57:39,AIR ,26001.0,257.8,,0.0,,0.0,,,,-50,,,,,normal,normal,normal,normal,
1365,03:24,13:57:40,AIR ,26002.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1366,03:24,13:57:41,AIR ,26002.0,257.8,,0.0,,0.0,,,,,,,-63,,normal,normal,normal,normal,
1367,03:24,13:57:42,AIR ,26001.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1368,03:24,13:57:43,AIR ,26001.0,257.8,,0.0,,0.0,,,,,-53,,,,normal,normal,normal,normal,
1369,03:24,13:57:44,AIR ,26001.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1370,03:24,13:57:45,AIR ,26001.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1371,03:24,13:57:46,AIR ,26001.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1372,03:24,13:57:47,AIR ,26001.0,257.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1373,03:24,13:57:48,AIR ,26001.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1374,03:24,13:57:49,AIR ,26001.0,257.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1375,03:24,13:57:50,AIR ,26001.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1376,03:24,13:57:51,AIR ,26001.0,257.8,GIA217  ,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1377,03:24,13:57:52,AIR ,26001.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1378,03:24,13:57:53,AIR ,26002.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1379,03:24,13:57:54,AIR ,26002.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1380,03:24,13:57:55,AIR ,26003.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1381,03:24,13:57:56,AIR ,26004.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1382,03:24,13:57:57,AIR ,26002.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1383,03:24,13:57:58,AIR ,26004.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1384,03:24,13:57:59,AIR ,26003.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1385,03:24,13:58:00,AIR ,26004.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1386,03:24,13:58:01,AIR ,26004.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1387,03:24,13:58:02,AIR ,26003.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1388,03:24,13:58:03,AIR ,26002.0,257.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1389,03:24,13:58:04,AIR ,26003.0,257.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1390,03:24,13:58:05,AIR ,26003.0,257.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1391,03:24,13:58:06,AIR ,26003.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1392,03:24,13:58:07,AIR ,26001.0,258.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1393,03:24,13:58:08,AIR ,26001.0,258.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1394,03:24,13:58:09,AIR ,26001.0,258.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1395,03:24,13:58:10,AIR ,26001.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1396,03:24,13:58:11,AIR ,26001.0,258.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1397,03:24,13:58:12,AIR ,26001.0,258.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1398,03:24,13:58:13,AIR ,26001.0,258.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1399,03:24,13:58:14,AIR ,26002.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1400,03:24,13:58:15,AIR ,26001.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1401,03:24,13:58:16,AIR ,26001.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1402,03:24,13:58:17,AIR ,26002.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1403,03:24,13:58:18,AIR ,26000.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1404,03:24,13:58:19,AIR ,26002.0,258.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1405,03:24,13:58:20,AIR ,26001.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1406,03:24,13:58:21,AIR ,26000.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1407,03:24,13:58:22,AIR ,26001.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1408,03:24,13:58:23,AIR ,26002.0,259.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1409,03:24,13:58:24,AIR ,26001.0,259.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1410,03:24,13:58:25,AIR ,26000.0,259.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1411,03:24,13:58:26,AIR ,25999.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1412,03:24,13:58:27,AIR ,25999.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1413,03:24,13:58:28,AIR ,26001.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1414,03:24,13:58:29,AIR ,25998.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1415,03:24,13:58:30,AIR ,26000.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1416,03:24,13:58:31,AIR ,26000.0,259.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1417,03:24,13:58:32,AIR ,25998.0,259.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1418,03:24,13:58:33,AIR ,25998.0,259.3,,0.0,,0.0,-160,,,,,,,,normal,normal,normal,normal,
1419,03:24,13:58:34,AIR ,25999.0,259.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1420,03:24,13:58:35,AIR ,25999.0,259.0,,0.0,,0.0,,,20,,,,,,normal,normal,normal,normal,
1421,03:24,13:58:36,AIR ,25999.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1422,03:24,13:58:37,AIR ,25999.0,259.0,,0.0,,0.0,,,,,,,,-166,normal,normal,normal,normal,
1423,03:24,13:58:38,AIR ,26000.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1424,03:24,13:58:39,AIR ,26000.0,258.8,,0.0,,0.0,,,,,,18,,,normal,normal,normal,normal,
1425,03:24,13:58:40,AIR ,26000.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1426,03:24,13:58:41,AIR ,26001.0,258.8,,0.0,,0.0,,-69,,,,,,,normal,normal,normal,normal,
1427,03:24,13:58:42,AIR ,26000.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1428,03:24,13:58:43,AIR ,26001.0,258.5,,0.0,,0.0,,,,-50,,,,,normal,normal,normal,normal,
1429,03:24,13:58:44,AIR ,26002.0,258.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1430,03:24,13:58:45,AIR ,26002.0,258.3,,0.0,,0.0,,,,,,,-63,,normal,normal,normal,normal,
1431,03:24,13:58:46,AIR ,26001.0,258.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1432,03:24,13:58:47,AIR ,26002.0,258.5,,0.0,,0.0,,,,,-53,,,,normal,normal,normal,normal,
1433,03:24,13:58:48,AIR ,26000.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1434,03:24,13:58:49,AIR ,26002.0,258.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1435,03:24,13:58:50,AIR ,26003.0,258.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1436,03:24,13:58:51,AIR ,26002.0,258.0,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1437,03:24,13:58:52,AIR ,26001.0,258.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1438,03:24,13:58:53,AIR ,26000.0,258.3,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1439,03:24,13:58:54,AIR ,26002.0,258.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1440,03:24,13:58:55,AIR ,26001.0,258.3,GIA217  ,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1441,03:24,13:58:56,AIR ,26000.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1442,03:24,13:58:57,AIR ,26000.0,258.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1443,03:24,13:58:58,AIR ,26001.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1444,03:24,13:58:59,AIR ,26002.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1445,03:24,13:59:00,AIR ,26001.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1446,03:24,13:59:01,AIR ,25999.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1447,03:24,13:59:02,AIR ,26001.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1448,03:24,13:59:03,AIR ,25999.0,258.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1449,03:24,13:59:04,AIR ,25999.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1450,03:24,13:59:05,AIR ,26000.0,258.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1451,03:24,13:59:06,AIR ,25998.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1452,03:24,13:59:07,AIR ,25998.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1453,03:24,13:59:08,AIR ,25997.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1454,03:24,13:59:09,AIR ,25998.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1455,03:24,13:59:10,AIR ,25997.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1456,03:24,13:59:11,AIR ,25997.0,258.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1457,03:24,13:59:12,AIR ,25999.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1458,03:24,13:59:13,AIR ,25999.0,258.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1459,03:24,13:59:14,AIR ,25998.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1460,03:24,13:59:15,AIR ,25997.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1461,03:24,13:59:16,AIR ,25997.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1462,03:24,13:59:17,AIR ,25997.0,258.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1463,03:24,13:59:18,AIR ,25999.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1464,03:24,13:59:19,AIR ,25998.0,258.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1465,03:24,13:59:20,AIR ,25998.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1466,03:24,13:59:21,AIR ,25998.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1467,03:24,13:59:22,AIR ,25998.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1468,03:24,13:59:23,AIR ,25998.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1469,03:24,13:59:24,AIR ,25997.0,259.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1470,03:24,13:59:25,AIR ,25998.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1471,03:24,13:59:26,AIR ,26000.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1472,03:24,13:59:27,AIR ,25998.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1473,03:24,13:59:28,AIR ,26000.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1474,03:24,13:59:29,AIR ,26000.0,258.5,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1475,03:24,13:59:30,AIR ,26000.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1476,03:24,13:59:31,AIR ,26002.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1477,03:24,13:59:32,AIR ,26002.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1478,03:24,13:59:33,AIR ,26001.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1479,03:24,13:59:34,AIR ,26002.0,259.0,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1480,03:24,13:59:35,AIR ,26001.0,258.8,,0.0,,0.0,,,,,,,,,normal,normal,normal,normal,
1481,03:24,13:59:36,AIR ,26001.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1482,03:24,13:59:37,AIR ,26003.0,259.0,,0.0,,0.0,-160,,,,,,,,normal,normal,normal,normal,
1483,03:24,13:59:38,AIR ,26004.0,258.8,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1484,03:24,13:59:39,AIR ,26004.0,258.8,,0.0,,0.0,,,20,,,,,,normal,normal,normal,normal,
1485,03:24,13:59:40,AIR ,26005.0,258.5,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1486,03:24,13:59:41,AIR ,26004.0,258.5,,0.0,,0.0,,,,,,,,-166,normal,normal,normal,normal,
1487,03:24,13:59:42,AIR ,26004.0,258.3,,0.0,0.0,,,,,,,,,,normal,normal,normal,normal,
1488,03:24,13:59:43,AIR ,26004.0,258.5,,0.0,,0.0,,,,,,18,,,normal,normal,normal,normal,
